[micron],Mean
0.0000,178.004
0.5035,185.809
1.0071,205.298
1.5106,239.698
2.0142,265.129
2.5177,305.582
3.0212,342.760
3.5248,404.591
4.0283,447.156
4.5319,561.120
5.0354,627.627
5.5389,695.120
6.0425,823.422
6.5460,933.707
7.0496,973.547
7.5531,1070.911
8.0566,1095.778
8.5602,1188.342
9.0637,1238.027
9.5673,1227.849
10.0708,1219.289
10.5744,1259.884
11.0779,1229.404
11.5814,1225.556
12.0850,1190.022
12.5885,1117.289
13.0921,1028.267
13.5956,925.436
14.0991,845.978
14.6027,751.582
15.1062,691.720
15.6098,592.436
16.1133,527.484
